Round,Cohort,Age,Cage,Sex,numMice,startDate,startTime,cageType,trialType,Cam,fileName_video,fileName_ANSI,cageColor,Extender,H2O_bottle,filterPaper,file_Size,video_dur
1,C1,Old,746,F,3,8/3/2022,10:27:44 AM,home,Record,Pi1,Pi1__08-03-2022_10.27.44__0.h264,08032022_10.27.44_Pi1_C1_746_home.txt,red,Y,N,N,,
1,C1,Old,746,F,3,8/3/2022,10:28:33 AM,latrine,Record,Pi3,Pi3__08-03-2022_10.28.33__0.h264,08032022_10.28.33_Pi3_C1_746_latrine.txt,red,N,N,Y,,
1,C1,Old,747,M,2,8/3/2022,10:27:52 AM,home,Record,Pi2,Pi2__08-03-2022_10.27.52__0.h264,08032022_10.27.52_Pi2_C1_747_home.txt,red,Y,N,N,,
1,C1,Old,747,M,2,8/3/2022,10:29:03 AM,latrine,Record,Pi4,Pi4__08-03-2022_10.29.03__0.h264,08032022_10.29.03_Pi4_C1_747_latrine.txt,red,N,N,Y,,
1,C2,Old,791,M,5,8/18/2022,8:21:20 AM,home,Record,Pi8,Pi8__08-18-2022_08.21.20__0.h264,08182022_08.21.20_Pi8_C2_791_home.txt,red,N,N,N,,
1,C2,Old,791,M,5,8/18/2022,8:25:50 AM,latrine,Record,Pi7,Pi7__08-18-2022_08.25.50__0.h264,08182022_08.25.50_Pi7_C2_791_latrine.txt,red,N,N,Y,,
1,C2,Old,791,M,5,8/20/2022,6:44:09 AM,home,Record,Pi8,Pi8__08-20-2022_06.44.09__0.h264,08202022_06.44.09_Pi8_C2_791_home.txt,red,N,N,N,,
1,C2,Old,791,M,5,8/20/2022,6:43:06 AM,latrine,Record,Pi7,Pi7__08-20-2022_06.43.06__0.h264,08202022_06.43.06_Pi7_C2_791_latrine.txt,red,N,N,Y,,
1,C2,Old,792,M,3,8/17/2022,6:08:03 PM,home,Record,Pi9,Pi9__08-17-2022_18.08.03__0.h264,08172022_18.08.03_Pi9_C2_792_home.txt,red,N,N,N,,
1,C2,Old,792,M,3,8/18/2022,8:21:40 AM,latrine,Record,Pi10,Pi10__08-18-2022_08.21.40__0.h264,08182022_08.21.40_Pi10_C2_792_latrine.txt,red,N,N,Y,,
1,C2,Old,792,M,3,8/20/2022,6:46:48 AM,home,Record,Pi9,Pi9__08-20-2022_06.46.48__0.h264,08202022_06.46.48_Pi9_C2_792_home.txt,red,N,N,N,,
1,C2,Old,792,M,3,8/20/2022,6:40:15 AM,latrine,Record,Pi10,Pi10__08-20-2022_06.40.15__0.h264,08202022_06.40.15_Pi10_C2_792_latrine.txt,red,N,N,Y,,
1,C3,Young,875,M,4,10/27/2022,6:29:07 AM,home,Record,Pi9,Pi9__10-27-2022_06.29.07__0.h264,10272022_06.29.07_Pi9_C3_875_home.txt,red,N,Y,N,,
1,C3,Young,875,M,4,10/27/2022,6:30:00 AM,latrine,Record,Pi8,Pi8__10-27-2022_06.30.00__0.h264,10272022_06.30.00_Pi8_C3_875_latrine.txt,red,N,N,Y,,
1,C3,Young,875,M,4,10/29/2022,6:16:00 AM,home,Ctrl,Pi9,Pi9__10-29-2022_06.16.00__0.h264,10292022_06.16.00_Pi9_C3_875_home.txt,red,N,Y,Y,,
1,C3,Young,875,M,4,10/29/2022,6:31:34 AM,latrine,Ctrl,Pi8,Pi8__10-29-2022_06.31.34__0.h264,10292022_06.31.34_Pi8_C3_875_latrine.txt,red,N,N,Y,,
1,C3,Young,876,M,4,10/27/2022,6:41:02 AM,home,Record,Pi5,Pi5__10-27-2022_06.41.02__0.h264,10272022_06.41.02_Pi5_C3_876_home.txt,red,N,Y,N,,
1,C3,Young,876,M,4,10/27/2022,6:38:05 AM,latrine,Record,Pi7,Pi7__10-27-2022_06.38.05__0.h264,10272022_06.38.05_Pi7_C3_876_latrine.txt,red,N,N,Y,,
1,C3,Young,876,M,4,10/29/2022,6:29:46 AM,home,Ctrl,Pi5,Pi5__10-29-2022_06.29.46__0.h264,10292022_06.29.46_Pi5_C3_876_home.txt,red,N,Y,Y,,
1,C3,Young,876,M,4,10/29/2022,6:43:51 AM,latrine,Ctrl,Pi7,Pi7__10-29-2022_06.43.51__0.h264,10292022_06.43.51_Pi7_C3_876_latrine.txt,red,N,N,Y,,
1,C4,Old,81,F,4,9/23/2023,7:06:17 AM,home,Record,Pi2,Pi2__09-23-2023_07.06.17__0.h264,09232023_07.06.17_Pi2_C4_81_home.txt,red,N,Y,N,,
1,C4,Old,81,F,4,9/23/2023,7:05:29 AM,latrine,Record,Pi1,Pi1__09-23-2023_07.05.29__0.h264,09232023_07.05.29_Pi1_C4_81_latrine.txt,red,N,N,Y,,
1,C5,Old,82,F,2,10/4/2023,6:09:00 AM,home,Record,Pi2,Pi2__10-04-2023_06.09.00__0.h264,10042023_06.09.00_Pi2_C5_82_home.txt,red,N,Y,N,,
1,C5,Old,82,F,2,10/4/2023,6:10:07 AM,latrine,Record,Pi1,Pi1__10-04-2023_06.10.07__0.h264,10042023_06.10.07_Pi1_C5_82_latrine.txt,red,N,N,Y,,
1,C5,Old,83,M,2,10/4/2023,6:08:54 AM,home,Record,Pi4,Pi4__10-04-2023_06.08.54__0.h264,10042023_06.08.54_Pi4_C5_83_home.txt,red,N,Y,N,,
1,C5,Old,83,M,2,10/4/2023,6:07:50 AM,latrine,Record,Pi3,Pi3_10-04-2023_06.07.50_0.h264,10042023_06.07.50_Pi3_C5_83_latrine.txt,red,N,N,Y,157.4,40
