Round,Cohort,Age,Cage,numMice,Mouse_ID,Sex,DOB,Sac_date,Sac_time,Time,Sac_age,Weight,VSA_control,Metadata_Mouse,Alias
1,C4,Old,81,4,81_0,F,1/1/2022,10/3/2023,7:33:00 PM,PM,91.4,25.6,,81,81
1,C4,Old,81,4,81_1,F,1/1/2022,10/3/2023,7:22:30 PM,PM,91.4,26.7,,81.01,8101
1,C4,Old,81,4,81_2,F,1/1/2022,10/2/2023,7:38:00 AM,AM,91.3,27.5,,81.02,
1,C4,Old,81,4,81_3,F,1/1/2022,10/2/2023,6:49:00 AM,AM,91.3,24.4,,81.03,8103
1,C5,Old,83,2,83_1,M,2/1/2022,10/17/2023,6:52:00 AM,AM,89.0,32.8,,83.01,
1,C5,Old,83,2,83_2,M,2/1/2022,10/18/2023,8:03:00 PM,PM,89.1,29.4,,83.02,
1,C6,Young,84,4,84_1,F,6/20/2023,11/2/2023,6:50:00 AM,AM,19.3,23.6,,84.01,
1,C6,Young,84,4,84_3,F,6/20/2023,11/2/2023,6:39:00 AM,AM,19.3,23.3,,84.03,
1,C6,Young,84,4,84_4,F,6/20/2023,11/3/2023,7:19:00 PM,PM,19.4,20.3,,84.04,
1,C6,Young,85,4,85_6,F,6/20/2023,11/3/2023,7:23:30 PM,PM,19.4,24.1,,85.06,
1,C6,Young,85,4,85_7,F,6/20/2023,11/2/2023,7:15:00 AM,AM,19.3,23.4,,85.07,
1,C6,Young,85,4,85_8,F,6/20/2023,11/3/2023,7:44:00 PM,PM,19.4,21.1,,85.08,
2,C8,Young,86,3,86_2,M,12/19/2023,6/3/2024,6:52:00 AM,AM,23.9,31.9,,86.02,8602
2,C8,Young,87,3,87_4,M,12/19/2023,6/3/2024,8:36:00 PM,PM,23.9,24.0,,87.04,8704
1,C2,Old,791,5,384,M,12/10/2020,9/7/2022,7:36:00 AM,AM,90.9,,,791.384,
3,C13,Young,2433,4,2433_4,M,4/30/2024,,,PM,,27.2,,2433.04,243304
3,C7,Old,7,4,Ctrl1,M,,2/7/2024,7:15:00 AM,AM,,28.0,,Ctrl.1,
3,C7,Old,7,4,Ctrl2,M,,2/7/2024,7:30:00 AM,AM,,28.4,,Ctrl.2,
3,C7,Old,7,4,Ctrl3,M,,2/7/2024,5:15:00 PM,PM,,26.1,,Ctrl.3,
3,C7,Young,7,1,Ctrl6,M,,2/21/2024,7:45:00 AM,AM,,27.0,,ctrl.6,ctrl6
