Round,Cohort,Age,Cage,Sex,numMice,Time,endDate,endTime,trialDur,cageType,Trial,segment,trialNum,trialType,fileName,TrueZero,Chewed,PhotoShop,CSV
1,1,Old,746,F,3,light,8/1/2022,6:15:00 PM,12,latrine,,,1,Accl,20220801_18.15_C1_746_F_latrine.tiff,,,,20220801_18.15_C1_746_F_latrine.csv
1,1,Old,746,F,3,dark,8/2/2022,6:08:00 AM,12,latrine,,,1,Accl,20220802_06.08_C1_746_F_latrine.tiff,,Y,Y,20220802_06.08_C1_746_F_latrine_ps.csv
1,1,Old,746,F,3,light,8/2/2022,6:12:00 PM,12,latrine,,,2,Accl,20220802_18.12_C1_746_F_latrine.tiff,,,,20220802_18.12_C1_746_F_latrine.csv
1,1,Old,746,F,3,dark,8/3/2022,6:08:00 AM,12,latrine,,,2,Accl,20220803_06.08_C1_746_F_latrine.tiff,,Y,Y,20220803_06.08_C1_746_F_latrine_ps.csv
1,1,Old,746,F,3,,8/5/2022,10:40:00 AM,48,latrine,08032022_746,,3,Record,20220805_10.40_C1_746_F_latrine.tiff,,Y,Y,20220805_10.40_C1_746_F_latrine_ps.csv
1,1,Old,747,M,2,light,8/1/2022,6:05:00 PM,12,latrine,,,1,Accl,20220801_18.05_C1_747_M_latrine.tiff,,,,20220801_18.05_C1_747_M_latrine.csv
1,1,Old,747,M,2,dark,8/2/2022,6:02:00 AM,12,latrine,,,1,Accl,20220802_06.02_C1_747_M_latrine.tiff,,,,20220802_06.02_C1_747_M_latrine.csv
1,1,Old,747,M,2,light,8/2/2022,6:04:00 PM,12,latrine,,,2,Accl,20220802_18.04_C1_747_M_latrine.tiff,,,,20220802_18.04_C1_747_M_latrine.csv
1,1,Old,747,M,2,dark,8/3/2022,6:03:00 AM,12,latrine,,,2,Accl,20220803_06.03_C1_747_M_latrine.tiff,,,,20220803_06.03_C1_747_M_latrine.csv
1,1,Old,747,M,2,,8/5/2022,10:44:00 AM,48,latrine,08032022_747,,3,Record,20220805_10.44_C1_747_M_latrine.tiff,,Y,,20220805_10.44_C1_747_M_latrine.csv
1,2,Old,791,M,5,light,8/15/2022,6:05:00 PM,12,latrine,,,1,Accl,20220815_18.05_C2_791_M_latrine.tiff,,,,20220815_18.05_C2_791_M_latrine.csv
1,2,Old,791,M,5,dark,8/16/2022,6:02:00 AM,12,latrine,,,1,Accl,20220816_06.02_C2_791_M_latrine.tiff,,,,20220816_06.02_C2_791_M_latrine.csv
1,2,Old,791,M,5,light,8/16/2022,3:49:00 PM,12,latrine,,,2,Accl,20220816_15.49_C2_791_M_latrine.tiff,,,,20220816_15.49_C2_791_M_latrine.csv
1,2,Old,791,M,5,dark,8/17/2022,6:00:00 AM,12,latrine,,,2,Accl,20220817_06.00_C2_791_M_latrine.tiff,,,Y,20220817_06.00_C2_791_M_latrine_ps.csv
1,2,Old,791,M,5,light,8/17/2022,5:56:00 PM,12,latrine,,,3,Accl,20220817_17.56_C2_791_M_latrine.tiff,,,Y,20220817_17.56_C2_791_M_latrine_ps.csv
