Round,Cohort,Age,Cage,numMice,Mouse_ID,Sex,DOB,Sac_date,Sac_time,Sac_age,Weight,VSA_control
1,C1,Old,746,3,268,F,12/1/2020,8/11/2022,8:33:30 AM,88.3,,
1,C1,Old,746,3,269,F,12/1/2020,8/11/2022,10:35:00 AM,88.3,,
1,C1,Old,746,3,270,F,12/1/2020,8/10/2022,8:16:00 PM,88.1,,
1,C1,Old,747,2,271,M,12/1/2020,8/11/2022,9:14:00 AM,88.3,,
1,C1,Old,747,2,272,M,12/1/2020,8/10/2022,8:19:30 PM,88.1,,
1,C2,Old,791,5,382,M,12/10/2020,9/6/2022,7:39:00 PM,90.7,,
1,C2,Old,791,5,383,M,12/10/2020,9/6/2022,7:25:00 PM,90.7,,
1,C2,Old,791,5,384,M,12/10/2020,9/7/2022,7:36:00 AM,90.9,,
1,C2,Old,791,5,385,M,12/10/2020,9/7/2022,8:44:00 AM,90.9,,
1,C2,Old,791,5,386,M,12/10/2020,9/6/2022,7:50:00 PM,90.7,,
1,C2,Old,792,3,387,M,12/28/2020,9/6/2022,7:55:00 PM,88.1,,
1,C2,Old,792,3,388,M,12/28/2020,9/7/2022,6:38:00 AM,88.3,,
1,C2,Old,792,3,389,M,12/28/2020,9/7/2022,6:46:00 AM,88.3,,
1,C3,Young,875,4,568,M,7/19/2022,12/1/2022,7:07:00 PM,19.3,,
1,C3,Young,875,4,569,M,7/19/2022,12/1/2022,7:28:00 PM,19.3,,
1,C3,Young,875,4,570,M,7/19/2022,12/2/2022,7:48:00 AM,19.4,,
1,C3,Young,875,4,571,M,7/19/2022,12/2/2022,8:25:00 AM,19.4,,
1,C3,Young,876,4,572,M,7/19/2022,12/1/2022,7:38:00 PM,19.3,,
1,C3,Young,876,4,573,M,7/19/2022,12/1/2022,7:45:00 PM,19.3,,
1,C3,Young,876,4,574,M,7/19/2022,12/2/2022,8:56:00 AM,19.4,,
1,C3,Young,876,4,575,M,7/19/2022,12/2/2022,7:55:00 AM,19.4,,
1,C4,Old,81,4,81_0,F,1/1/2022,10/3/2023,7:33:00 PM,91.4,25.6,
1,C4,Old,81,4,81_1,F,1/1/2022,10/3/2023,7:22:30 PM,91.4,26.7,
1,C4,Old,81,4,81_2,F,1/1/2022,10/2/2023,7:38:00 AM,91.3,27.5,
1,C4,Old,81,4,81_3,F,1/1/2022,10/2/2023,6:49:00 AM,91.3,24.4,
1,C5,Old,82,2,82_0,F,2/1/2022,10/18/2023,7:29:00 PM,89.1,27.7,
1,C5,Old,82,2,82_1,F,2/1/2022,10/17/2023,7:35:00 AM,89.0,27.3,
1,C5,Old,83,2,83_1,M,2/1/2022,10/17/2023,6:52:00 AM,89.0,32.8,
1,C5,Old,83,2,83_2,M,2/1/2022,10/18/2023,8:03:00 PM,89.1,29.4,
1,C6,Young,84,4,84_1,F,6/20/2023,11/2/2023,6:50:00 AM,19.3,23.6,
1,C6,Young,84,4,84_2,F,6/20/2023,11/3/2023,6:57:00 PM,19.4,23.4,
1,C6,Young,84,4,84_3,F,6/20/2023,11/2/2023,6:39:00 AM,19.3,23.3,
1,C6,Young,84,4,84_4,F,6/20/2023,11/3/2023,7:19:00 PM,19.4,20.3,
1,C6,Young,85,4,85_5,F,6/20/2023,11/2/2023,7:22:00 AM,19.3,23.5,
1,C6,Young,85,4,85_6,F,6/20/2023,11/3/2023,7:23:30 PM,19.4,24.1,
1,C6,Young,85,4,85_7,F,6/20/2023,11/2/2023,7:15:00 AM,19.3,23.4,
1,C6,Young,85,4,85_8,F,6/20/2023,11/3/2023,7:44:00 PM,19.4,21.1,
2,C10,Old,91,3,91_0,M,10/18/2022,5/16/2024,7:45:00 PM,82.3,33.5,
2,C10,Old,91,3,91_1,M,10/18/2022,6/2/2024,7:46:00 PM,84.7,35.2,
2,C10,Old,91,3,91_2,M,10/18/2022,6/2/2024,7:50:00 PM,84.7,31.5,
2,C10,Old,92,3,92_3,M,10/18/2022,6/3/2024,6:34:00 AM,84.9,43.7,
2,C10,Old,92,3,92_4,M,10/18/2022,6/3/2024,7:34:00 AM,84.9,36.7,
2,C10,Old,92,3,92_5,M,10/18/2022,6/2/2024,7:41:00 PM,84.7,39.2,
2,C10,Old,93,3,93_0,F,10/18/2022,6/4/2024,8:00:00 PM,85.0,29.8,
2,C10,Old,93,3,93_1,F,10/18/2022,6/5/2024,6:51:00 AM,85.1,34.1,
2,C10,Old,93,3,93_2,F,10/18/2022,6/5/2024,8:15:00 AM,85.1,31.5,
2,C11,Old,94,3,94_3,F,10/18/2022,5/16/2024,8:18:00 PM,82.3,27.2,
2,C11,Old,94,3,94_4,F,10/18/2022,5/17/2024,7:33:00 AM,82.4,28.2,
2,C11,Old,94,3,94_5,F,10/18/2022,5/16/2024,8:19:00 PM,82.3,26.1,
2,C11,Old,95,3,95_0,M,10/25/2022,5/16/2024,8:56:00 PM,81.3,33.1,
2,C11,Old,95,3,95_1,M,10/25/2022,5/17/2024,7:21:00 AM,81.4,30.9,
2,C11,Old,95,3,95_2,M,10/25/2022,5/17/2024,7:16:00 AM,81.4,33.6,
2,C11,Old,1253,3,1342,F,11/22/2022,6/4/2024,7:27:00 PM,80.0,33.7,
2,C11,Old,1253,3,1343,F,11/22/2022,6/4/2024,7:45:00 PM,80.0,28.3,
2,C11,Old,1253,3,1344,F,11/22/2022,6/5/2024,8:25:00 AM,80.1,31.0,
2,C12,Young,2158,3,3256,F,1/16/2024,6/5/2024,6:47:00 PM,20.1,20.7,Y
2,C12,Young,2158,3,3258,F,1/16/2024,6/6/2024,6:51:00 AM,20.3,22.4,Y
2,C12,Young,2158,3,3260,F,1/16/2024,6/6/2024,7:16:00 AM,20.3,22.1,Y
2,C12,Young,2159,3,3257,F,1/16/2024,6/6/2024,6:57:00 AM,20.3,21.0,Y
2,C12,Young,2159,3,3259,F,1/16/2024,6/5/2024,7:26:00 PM,20.1,22.5,Y
2,C12,Young,2159,3,3261,F,1/16/2024,6/5/2024,7:54:00 PM,20.1,20.1,Y
2,C12,Young,2160,3,3262,M,1/16/2024,6/4/2024,7:25:00 AM,20.0,28.6,Y
2,C12,Young,2160,3,3263,M,1/16/2024,6/4/2024,7:20:00 AM,20.0,27.6,Y
2,C12,Young,2160,3,3264,M,1/16/2024,6/3/2024,7:42:00 PM,19.9,28.6,Y
2,C12,Young,2161,3,3265,M,1/16/2024,6/4/2024,6:41:00 AM,20.0,26.6,Y
2,C12,Young,2161,3,3266,M,1/16/2024,6/3/2024,7:36:00 PM,19.9,26.0,Y
2,C12,Young,2161,3,3267,M,1/16/2024,6/3/2024,7:34:00 PM,19.9,25.7,Y
2,C8,Young,86,3,86_0,M,12/19/2023,6/2/2024,7:21:00 PM,23.7,30.3,
2,C8,Young,86,3,86_1,M,12/19/2023,6/3/2024,6:52:00 AM,23.9,29.7,
2,C8,Young,86,3,86_2,M,12/19/2023,6/3/2024,6:52:00 AM,23.9,31.9,
2,C8,Young,87,3,87_3,M,12/19/2023,6/4/2024,7:11:00 AM,24.0,27.1,
2,C8,Young,87,3,87_4,M,12/19/2023,6/3/2024,8:36:00 PM,23.9,24.0,
2,C8,Young,87,3,87_5,M,12/19/2023,6/3/2024,8:36:00 PM,23.9,22.2,
2,C8,Young,88,3,88_0,F,12/19/2023,6/6/2024,7:43:00 AM,24.3,23.7,
2,C8,Young,88,3,88_1,F,12/19/2023,6/6/2024,7:03:00 AM,24.3,23.0,
2,C8,Young,88,3,88_2,F,12/19/2023,6/5/2024,7:09:00 PM,24.1,22.3,
2,C9,Young,89,3,89_3,F,12/19/2023,6/6/2024,6:52:00 AM,24.3,25.1,
2,C9,Young,89,3,89_4,F,12/19/2023,6/5/2024,7:32:00 PM,24.1,21.9,
2,C9,Young,89,3,89_5,F,12/19/2023,6/5/2024,7:19:00 PM,24.1,22.7,
2,C9,Old,90,3,90_0,M,10/11/2022,6/3/2024,8:17:00 PM,85.9,31.8,
2,C9,Old,90,3,90_1,M,10/11/2022,6/4/2024,8:30:00 AM,86.0,32.3,
2,C9,Old,90,3,90_2,M,10/11/2022,6/4/2024,6:56:00 AM,86.0,33.6,
2,C9,Old,1106,3,1032,F,10/4/2022,6/4/2024,8:30:00 PM,87.0,30.6,
2,C9,Old,1106,3,1033,F,10/4/2022,6/5/2024,7:25:00 AM,87.1,26.7,
2,C9,Old,1106,3,1034,F,10/4/2022,5/14/2024,8:00:00 AM,84.0,26.4,
3,C13,Young,2432,4,2432_1,F,4/30/2024,,,,22.5,
3,C13,Young,2432,4,2432_2,F,4/30/2024,,,,22.3,
3,C13,Young,2432,4,2432_3,F,4/30/2024,,,,22.2,
3,C13,Young,2432,4,2432_4,F,4/30/2024,,,,22.2,
3,C13,Young,2433,4,2433_1,M,4/30/2024,,,,30.0,
3,C13,Young,2433,4,2433_2,M,4/30/2024,,,,26.4,
3,C13,Young,2433,4,2433_3,M,4/30/2024,,,,26.6,
3,C13,Young,2433,4,2433_4,M,4/30/2024,,,,27.2,
