Round,Cohort,Age,Cage,Mouse_ID,earPunch,Sex,Trial,cFOS,Time_Void1,Time_Void2,Latency,Sac_time,cFOS_time,Weight,Date,Time,Exp,Start,End,trialDur,arenaSize,arenaColor,60m_voids,75m_voids,90m_voids,Fecal,fileName,TrueZero,Chewed,PhotoShop,CSV
1,1,Old,746,268,L,F,1,,,,,,,,8/8/2022,dark,AA,7:56:00 PM,9:26:00 PM,01:30,"15"" x 15""",Black,0,1,1,11,20220808_19.56_C1_746_268_F_VSA.tiff,,,,20220808_19.56_C1_746_268_F_VSA.csv
1,1,Old,746,268,L,F,4,,,,,,,,8/9/2022,dark,AA,6:35:00 PM,8:05:00 PM,01:30,"15"" x 15""",Black,0,0,0,6,20220809_18.35_C1_746_268_F_VSA.tiff,Y,,,
1,1,Old,746,268,L,F,2,,,,,,,,8/9/2022,light,AA,6:09:00 AM,7:39:00 AM,01:30,"15"" x 15""",Black,1,1,1,24,20220809_06.09_C1_746_268_F_VSA.tiff,,,,20220809_06.09_C1_746_268_F_VSA.csv
1,1,Old,746,268,L,F,3,,,,,,,,8/9/2022,light,AA,11:13:00 AM,12:43:00 PM,01:30,"15"" x 15""",Black,0,0,0,7,20220810_11.13_C1_746_268_F_VSA.tiff,Y,,,
1,1,Old,746,268,L,F,5,Y,8:03:30 AM,,01:05,8:33:30 AM,30,,8/11/2022,light,AA,6:58:00 AM,8:18:30 AM,01:20,"15"" x 15""",Black,,,,6,20220811_06.58_C1_746_268_F_VSA.tiff,,,,20220811_06.58_C1_746_268_F_VSA.csv
1,1,Old,746,269,R,F,1,,,,,,,,8/8/2022,dark,AA,6:19:00 PM,7:49:00 PM,01:30,"15"" x 15""",Black,0,0,0,6,20220808_18.19_C1_746_269_F_VSA.tiff,,,,20220808_18.19_C1_746_269_F_VSA.csv
1,1,Old,746,269,R,F,4,,,,,,,,8/9/2022,dark,AA,8:28:00 PM,9:58:00 PM,01:30,"15"" x 15""",Black,1,1,1,10,20220809_20.28_C1_746_269_F_VSA.tiff,,,,20220809_20.28_C1_746_269_F_VSA.csv
1,1,Old,746,269,R,F,2,,,,,,,,8/9/2022,light,AA,6:10:00 AM,7:40:00 AM,01:30,"15"" x 15""",Black,1,1,1,20,20220809_06.10_C1_746_269_F_VSA.tiff,,,,20220809_06.10_C1_746_269_F_VSA.csv
1,1,Old,746,269,R,F,3,,,,,,,,8/9/2022,light,AA,11:12:00 AM,12:42:00 PM,01:30,"15"" x 15""",Black,0,0,0,7,20220810_11.12_C1_746_269_F_VSA.tiff,Y,,,
1,1,Old,746,269,R,F,5,Y,10:05:00 AM,,03:07,10:35:00 AM,30,,8/11/2022,light,AA,6:58:00 AM,10:20:00 AM,03:22,"15"" x 15""",Black,,,,14,20220811_06.58_C1_746_269_F_VSA.tiff,,,,20220811_06.58_C1_746_269_F_VSA.csv
