Cohort,Cage,Sex,Age,startDate,BottleWeight_new,DripWeight,endDate,BottleWeight_old,TrialDur,Intake_24h,trialType,FP_dark_latrine,FP_light_latrine,FP_dark_home,FP_light_home
8,86,M,Young,4/22/2024,180.6,2.8,4/23/2024,157.9,1,19.90,Accl,20240423_06.00_C8_86_M_latrine.csv,20240423_18.00_C8_86_M_latrine.csv,NA,NA
8,86,M,Young,4/23/2024,157.9,2.1,4/25/2024,119.7,2,18.05,Record,20240425_06.00_C8_86_M_latrine.csv,20240425_18.00_C8_86_M_latrine.csv,NA,NA
8,86,M,Young,4/25/2024,160.0,1.0,4/26/2024,136.6,1,22.40,Ctrl,20240426_06.00_C8_86_M_latrine.csv,20240426_18.00_C8_86_M_latrine.csv,20240426_06.00_C8_86_M_home_ps.csv,20240426_18.00_C8_86_M_home_ps.csv
8,86,M,Young,4/26/2024,136.6,1.6,4/27/2024,131.5,1,3.50,Ctrl,20240427_06.00_C8_86_M_latrine.csv,20240427_18.00_C8_86_M_latrine_ps.csv,20240427_06.00_C8_86_M_home_ps.csv,20240427_18.00_C8_86_M_home_ps.csv
8,87,M,Young,4/22/2024,179.3,2.7,4/23/2024,162.8,1,13.80,Accl,20240422_06.00_C8_87_M_latrine.csv,20240422_18.00_C8_87_M_latrine.csv,NA,NA
8,87,M,Young,4/23/2024,162.8,1.9,4/25/2024,132.3,2,14.30,Accl,20240423_06.00_C8_87_M_latrine.csv,20240423_18.00_C8_87_M_latrine.csv,NA,NA
8,87,M,Young,4/25/2024,167.7,1.6,4/26/2024,147.5,1,18.60,Record,20240425_06.00_C8_87_M_latrine.csv,20240425_18.00_C8_87_M_latrine.csv,NA,NA
8,87,M,Young,4/26/2024,147.5,1.8,4/27/2024,129.1,1,16.60,Ctrl,20240426_06.00_C8_87_M_latrine.csv,20240426_18.00_C8_87_M_latrine.csv,20240427_06.00_C8_87_M_home_ps.csv,20240427_18.00_C8_87_M_home_ps.csv
8,88,F,Young,4/22/2024,168.5,1.4,4/23/2024,151.2,1,15.90,Accl,20240423_06.00_C8_88_F_latrine_ps.csv,20240423_18.00_C8_88_F_latrine.csv,NA,NA
8,88,F,Young,4/23/2024,151.2,2.1,4/25/2024,120.0,2,14.55,Record,20240425_06.00_C8_88_F_latrine.csv,20240425_18.00_C8_88_F_latrine_ps.csv,NA,NA
8,88,F,Young,4/25/2024,157.3,2.5,4/26/2024,136.5,1,18.30,Ctrl,20240426_06.00_C8_88_F_latrine.csv,20240426_18.00_C8_88_F_latrine.csv,20240426_06.00_C8_88_F_home_ps.csv,20240426_18.00_C8_88_F_home_ps.csv
8,88,F,Young,4/26/2024,136.5,1.0,4/27/2024,119.0,1,16.50,Ctrl,20240427_06.00_C8_88_F_latrine_ps.csv,20240427_18.00_C8_88_F_latrine_ps.csv,20240427_06.00_C8_88_F_home_ps.csv,20240427_18.00_C8_88_F_home_ps.csv
9,89,F,Young,4/28/2024,169.1,2.2,4/29/2024,160.8,1,6.10,Accl,20240429_06.00_C9_89_F_latrine.csv,20240429_18.00_C9_89_F_latrine.csv,NA,NA
9,89,F,Young,4/29/2024,160.8,1.4,4/30/2024,145.0,1,14.40,Accl,20240430_06.00_C9_89_F_latrine.csv,20240430_18.00_C9_89_F_latrine.csv,NA,NA
9,89,F,Young,4/30/2024,145.0,2.8,5/1/2024,130.6,1,11.60,Record,20240501_06.00_C9_89_F_latrine_ps.csv,20240501_18.00_C9_89_F_latrine.csv,NA,NA
9,89,F,Young,5/1/2024,177.1,2.5,5/2/2024,169.6,1,5.00,Record,20240502_06.00_C9_89_F_latrine_ps.csv,20240502_18.00_C9_89_F_latrine.csv,NA,NA
9,89,F,Young,5/2/2024,169.6,2.0,5/3/2024,140.7,1,26.90,Ctrl,20240503_06.00_C9_89_F_latrine.csv,20240503_18.00_C9_89_F_latrine.csv,20240503_06.00_C9_89_F_home_ps.csv,20240503_18.00_C9_89_F_home_ps.csv
9,89,F,Young,5/3/2024,174.7,1.5,5/4/2024,172.6,1,0.60,Ctrl,20240504_06.00_C9_89_F_latrine.csv,20240504_18.00_C9_89_F_latrine.csv,20240504_06.00_C9_89_F_home_ps.csv,20240504_18.00_C9_89_F_home_ps.csv
9,90,M,Old,4/28/2024,158.9,1.1,4/29/2024,143.5,1,14.30,Accl,20240429_06.00_C9_90_M_latrine.csv,20240429_18.00_C9_90_M_latrine.csv,NA,NA
9,90,M,Old,4/29/2024,143.5,2.0,4/30/2024,126.2,1,15.30,Accl,20240430_06.00_C9_90_M_latrine.csv,20240430_18.00_C9_90_M_latrine.csv,NA,NA
