Age,Cage,Mouse_ID,Sex,Time,Tissue,Gene,foldChange
Old,1106,1033,F,AM,Bladder,Bmal1,1.41943339
Old,1106,1033,F,AM,Bladder,Per2,1.11904422
Old,1106,1033,F,AM,Bladder,Piezo,0.84248088
Old,1253,1344,F,AM,Bladder,Bmal1,1.98190211
Old,1253,1344,F,AM,Bladder,Per2,1.7669771
Old,1253,1344,F,AM,Bladder,Piezo,1.59921737
Old,93,93_2,F,AM,Bladder,Bmal1,0.19436703
Old,93,93_2,F,AM,Bladder,Per2,1.45214769
Old,93,93_2,F,AM,Bladder,Piezo,0.58813149
Old,90,90_1,M,AM,Bladder,Bmal1,1.05056966
Old,90,90_1,M,AM,Bladder,Per2,5.76932875
Old,90,90_1,M,AM,Bladder,Piezo,NA
Old,90,90_2,M,AM,Bladder,Bmal1,0.78456577
Old,90,90_2,M,AM,Bladder,Per2,0.25830696
Old,90,90_2,M,AM,Bladder,Piezo,0.28853583
Old,92,92_3,M,AM,Bladder,Bmal1,0.84620477
Old,92,92_3,M,AM,Bladder,Per2,1.60473749
Old,92,92_3,M,AM,Bladder,Piezo,2.33368654
Old,95,95_1,M,AM,Bladder,Bmal1,0.3688734
Old,95,95_1,M,AM,Bladder,Per2,1.07942076
Old,95,95_1,M,AM,Bladder,Piezo,1.60802201
Old,95,95_2,M,AM,Bladder,Bmal1,1.54196658
Old,95,95_2,M,AM,Bladder,Per2,1.18622668
Old,95,95_2,M,AM,Bladder,Piezo,1.4164777
Young,2159,3257,F,AM,Bladder,Bmal1,1.36014089
Young,2159,3257,F,AM,Bladder,Per2,0.90726115
Young,2159,3257,F,AM,Bladder,Piezo,0.36680333
Young,2158,3258,F,AM,Bladder,Bmal1,1.08445156
Young,2158,3258,F,AM,Bladder,Per2,0.35103811
Young,2158,3258,F,AM,Bladder,Piezo,1.45792681
Young,88,88_0,F,AM,Bladder,Bmal1,1.10150216
Young,88,88_0,F,AM,Bladder,Per2,0.8863373
Young,88,88_0,F,AM,Bladder,Piezo,0.23030663
Young,88,88_1,F,AM,Bladder,Bmal1,1.28038207
Young,88,88_1,F,AM,Bladder,Per2,2.36987654
Young,88,88_1,F,AM,Bladder,Piezo,2.62997038
Young,89,89_3,F,AM,Bladder,Bmal1,0.62803597
Young,89,89_3,F,AM,Bladder,Per2,0.27545617
Young,89,89_3,F,AM,Bladder,Piezo,1.09900483
Young,2160,3262,M,AM,Bladder,Bmal1,0.20841493
Young,2160,3262,M,AM,Bladder,Per2,1.95725582
Young,2160,3262,M,AM,Bladder,Piezo,0.54218868
Young,2160,3263,M,AM,Bladder,Bmal1,1.15177767
Young,2160,3263,M,AM,Bladder,Per2,0.86542435
Young,2160,3263,M,AM,Bladder,Piezo,1.52850971
Young,2161,3265,M,AM,Bladder,Bmal1,0.94960847
Young,2161,3265,M,AM,Bladder,Per2,0.89025742
Young,2161,3265,M,AM,Bladder,Piezo,0.42045307
Young,86,86_1,M,AM,Bladder,Bmal1,0.72822884
Young,86,86_1,M,AM,Bladder,Per2,2.47394631
Young,86,86_1,M,AM,Bladder,Piezo,0.43987709
Young,87,87_3,M,AM,Bladder,Bmal1,0.3994884
Young,87,87_3,M,AM,Bladder,Per2,2.1123569
Young,87,87_3,M,AM,Bladder,Piezo,1.75034226
Old,1106,1032,F,PM,Bladder,Bmal1,0.20916642
Old,1106,1032,F,PM,Bladder,Per2,1.23408656
Old,1106,1032,F,PM,Bladder,Piezo,1.14361874
Old,1253,1343,F,PM,Bladder,Bmal1,0.19017089
Old,1253,1343,F,PM,Bladder,Per2,0.38492727
Old,1253,1343,F,PM,Bladder,Piezo,0.8119825
Old,93,93_0,F,PM,Bladder,Bmal1,0.44558346
Old,93,93_0,F,PM,Bladder,Per2,1.10399471
Old,93,93_0,F,PM,Bladder,Piezo,1.70038259
Old,94,94_3,F,PM,Bladder,Bmal1,0.35546986
Old,94,94_3,F,PM,Bladder,Per2,0.50573363
Old,94,94_3,F,PM,Bladder,Piezo,0.74221965
Old,94,94_5,F,PM,Bladder,Bmal1,1.29512417
Old,94,94_5,F,PM,Bladder,Per2,3.93612784
Old,94,94_5,F,PM,Bladder,Piezo,4.08978715
Old,91,91_0,M,PM,Bladder,Bmal1,1.79887073
Old,91,91_0,M,PM,Bladder,Per2,2.95074714
Old,91,91_0,M,PM,Bladder,Piezo,0.0520268
Old,91,91_1,M,PM,Bladder,Bmal1,1.42216934
Old,91,91_1,M,PM,Bladder,Per2,0.96998491
Old,91,91_1,M,PM,Bladder,Piezo,0.48165815
Old,91,91_2,M,PM,Bladder,Bmal1,0.5706437
Old,91,91_2,M,PM,Bladder,Per2,2.08464116
Old,91,91_2,M,PM,Bladder,Piezo,1.33028838
Old,92,92_5,M,PM,Bladder,Bmal1,0.3917282
Old,92,92_5,M,PM,Bladder,Per2,1.54840932
Old,92,92_5,M,PM,Bladder,Piezo,0.25813097
Old,95,95_0,M,PM,Bladder,Bmal1,3.07105583
Old,95,95_0,M,PM,Bladder,Per2,5.79546101
Old,95,95_0,M,PM,Bladder,Piezo,0.2250194
Young,2159,3259,F,PM,Bladder,Bmal1,0.74188866
Young,2159,3259,F,PM,Bladder,Per2,6.03819512
Young,2159,3259,F,PM,Bladder,Piezo,4.05278127
Young,2159,3261,F,PM,Bladder,Bmal1,0.67700812
Young,2159,3261,F,PM,Bladder,Per2,10.9421047
Young,2159,3261,F,PM,Bladder,Piezo,13.2029886
Young,88,88_2,F,PM,Bladder,Bmal1,4.33769728
Young,88,88_2,F,PM,Bladder,Per2,3.31225981
Young,88,88_2,F,PM,Bladder,Piezo,1.10003401
Young,89,89_4,F,PM,Bladder,Bmal1,0.46154171
Young,89,89_4,F,PM,Bladder,Per2,3.68971293
Young,89,89_4,F,PM,Bladder,Piezo,4.08366441
Young,89,89_5,F,PM,Bladder,Bmal1,0.4430304
Young,89,89_5,F,PM,Bladder,Per2,2.22322883
Young,89,89_5,F,PM,Bladder,Piezo,2.31515815
Young,2160,3264,M,PM,Bladder,Bmal1,0.76551021
Young,2160,3264,M,PM,Bladder,Per2,0.85967478
Young,2160,3264,M,PM,Bladder,Piezo,0.86688875
Young,2161,3266,M,PM,Bladder,Bmal1,1.24480598
Young,2161,3266,M,PM,Bladder,Per2,0.48317615
Young,2161,3266,M,PM,Bladder,Piezo,0.97160451
Young,2161,3267,M,PM,Bladder,Bmal1,1.19685938
Young,2161,3267,M,PM,Bladder,Per2,0.96029186
Young,2161,3267,M,PM,Bladder,Piezo,2.37630551
Young,87,87_5,M,PM,Bladder,Bmal1,1.14937383
Young,87,87_5,M,PM,Bladder,Per2,1.36065168
Young,87,87_5,M,PM,Bladder,Piezo,1.15456085
Old,93,93_1,F,AM,kidney,Bmal1,2.474
Old,93,93_1,F,AM,kidney,Per2,1.97738771
Old,93,93_1,F,AM,kidney,Clock,3.3662849
Old,93,93_1,F,AM,kidney,ANPR,0.95516082
Old,93,93_1,F,AM,kidney,ENAC,0.95110688
