ImageNumber,ObjectNumber,Metadata_Chan,Metadata_Cohort,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Marker1,Metadata_Marker2,Metadata_Marker3,Metadata_Marker4,Metadata_Mouse,Metadata_Person,Metadata_Probe1,Metadata_Probe2,Metadata_Probe3,Metadata_ROI,Metadata_Region,Metadata_Section,Metadata_Series,Metadata_Slide,Metadata_Time,Metadata_Tissue,Metadata_arb,FileName_Arntl,FileName_DAPI,FileName_Per1,FileName_Piezo1,PathName_Arntl,PathName_DAPI,PathName_Per1,PathName_Piezo1,Children_Arntl_puncta_Count,Children_Per1_puncta_Count,Children_Piezo1_puncta_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_nuclei
1,1,nan,NOC,20240222,nan,0,DAPI,PIEZO1,ARNTL,PER1,85.08,REF,570,650,520,nan,BLAD,nan,0,2,PM,nan,c1-4,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0003.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0001.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0004.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0002.tif,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,0,1,0,512.0622009569378,12.027113237639554,0,1,1
1,2,nan,NOC,20240222,nan,0,DAPI,PIEZO1,ARNTL,PER1,85.08,REF,570,650,520,nan,BLAD,nan,0,2,PM,nan,c1-4,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0003.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0001.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0004.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0002.tif,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,0,3,2,448.17089305402425,11.511576626240354,0,2,2
1,3,nan,NOC,20240222,nan,0,DAPI,PIEZO1,ARNTL,PER1,85.08,REF,570,650,520,nan,BLAD,nan,0,2,PM,nan,c1-4,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0003.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0001.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0004.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0002.tif,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,0,12,4,481.8342904019688,17.24200164068909,0,3,3
1,4,nan,NOC,20240222,nan,0,DAPI,PIEZO1,ARNTL,PER1,85.08,REF,570,650,520,nan,BLAD,nan,0,2,PM,nan,c1-4,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0003.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0001.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0004.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0002.tif,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,0,1,2,411.1630615640599,14.031613976705492,0,4,4
1,5,nan,NOC,20240222,nan,0,DAPI,PIEZO1,ARNTL,PER1,85.08,REF,570,650,520,nan,BLAD,nan,0,2,PM,nan,c1-4,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0003.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0001.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0004.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0002.tif,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,0,0,0,31.944444444444443,17.633928571428573,0,5,5
1,6,nan,NOC,20240222,nan,0,DAPI,PIEZO1,ARNTL,PER1,85.08,REF,570,650,520,nan,BLAD,nan,0,2,PM,nan,c1-4,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0003.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0001.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0004.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0002.tif,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,0,2,0,122.85899513776337,20.350081037277146,0,6,6
1,7,nan,NOC,20240222,nan,0,DAPI,PIEZO1,ARNTL,PER1,85.08,REF,570,650,520,nan,BLAD,nan,0,2,PM,nan,c1-4,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0003.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0001.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0004.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0002.tif,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,0,2,0,308.1902237926973,17.045936395759718,0,7,7
1,8,nan,NOC,20240222,nan,0,DAPI,PIEZO1,ARNTL,PER1,85.08,REF,570,650,520,nan,BLAD,nan,0,2,PM,nan,c1-4,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0003.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0001.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0004.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0002.tif,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,0,2,2,149.9691275167785,20.653691275167784,0,8,8
1,9,nan,NOC,20240222,nan,0,DAPI,PIEZO1,ARNTL,PER1,85.08,REF,570,650,520,nan,BLAD,nan,0,2,PM,nan,c1-4,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0003.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0001.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0004.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0002.tif,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,0,0,0,170.41246684350133,25.871352785145888,0,9,9
1,10,nan,NOC,20240222,nan,0,DAPI,PIEZO1,ARNTL,PER1,85.08,REF,570,650,520,nan,BLAD,nan,0,2,PM,nan,c1-4,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0003.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0001.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0004.tif,20240222_REF_NOC_BLAD_PM_85.08_2_DAPI_PIEZO1_570_ARNTL_650_PER1_520_s1_ROI1_c1-4_Detrusor1_Ch0002.tif,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,\\data.arcc.uwyo.edu\cluster\alcova\bedfordlab\Nocturia\Bladder Images\Counting_ROI\All_Crops\Detrusor\Images for second script,0,1,0,59.757790368271955,25.48583569405099,0,10,10
