"","Cage","Age","Sex","totWeight","avgWeight","numMice"
"1",81,"Old","F",104.2,26.05,4
"2",82,"Old","F",55,27.5,2
"3",83,"Old","M",62.2,31.1,2
"4",84,"Young","F",90.6,22.65,4
"5",85,"Young","F",92.1,23.025,4
"6",86,"Young","M",91.9,30.6333333333333,3
"7",87,"Young","M",73.3,24.4333333333333,3
"8",88,"Young","F",69,23,3
"9",89,"Young","F",69.7,23.2333333333333,3
"10",90,"Old","M",97.7,32.5666666666667,3
"11",91,"Old","M",100.2,33.4,3
"12",92,"Old","M",119.6,39.8666666666667,3
"13",93,"Old","F",95.4,31.8,3
"14",94,"Old","F",81.5,27.1666666666667,3
"15",95,"Old","M",97.6,32.5333333333333,3
"16",746,"Old","F",NA,NA,3
"17",747,"Old","M",NA,NA,2
"18",791,"Old","M",NA,NA,5
"19",792,"Old","M",NA,NA,3
"20",875,"Young","M",NA,NA,4
"21",876,"Young","M",NA,NA,4
"22",1106,"Old","F",83.7,27.9,3
"23",1253,"Old","F",93,31,3
"24",2158,"Young","F",65.2,21.7333333333333,3
"25",2159,"Young","F",63.6,21.2,3
"26",2160,"Young","M",84.8,28.2666666666667,3
"27",2161,"Young","M",78.3,26.1,3
"28",2432,"Young","F",89.2,22.3,4
"29",2433,"Young","M",110.2,27.55,4
